examiné par;date examiné (aaaa-mm-jj);méthode de préservation;espèce;navire;détail du navire;no. relevé;no. trait;date (aaaa-mm-jj);longueur étiquette  (mm);masse étiquette (g);longueur préservé  (mm);masse préservé (g);sexe préservé;no. poisson;no. unique;masse d'estomac (g);masse cont. stom. (g);code de proie;code de détail;nom de la proie;détail proie;no. d'indiv.;masse stade 1;masse stade 2;masse stade 3;long.1;long.2;long.3;long.4;long.5;long.6;long.7;long.8;long.9;long.10;masse de 10 ind.;remarques
LC;2018-10-23;2;187;39;;15;19;;;;;;;353; ;0.190;0.126;7511;81;Oedicerotidae;partiel;;;;0.017;;;;;;;;;;;;petits yeux
;;;;;;;;;;;;;;;;;;9977;;mucus;0;;;;0.109;;;;;;;;;;;;
LC;2018-10-23;2;187;39;;15;19;;;;;;;354; ;0.149;;9998;;vide;0;;;;;;;;;;;;;;;;
LC;2018-10-23;2;187;39;;15;19;;;;;;;355; ;0.398;0.279;7994;;Meganyctiphanes norvegica;0;1;;0.270;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;6091;10;Tortanus discaudatus;Ci-v;1;0.002;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;9977;;mucus;0;;;;0.007;;;;;;;;;;;;
LC;2018-10-23;2;187;39;;15;19;;;;;;;356;;0.256;0.161;8002;;Thysanoessa raschii;0;1;;0.111;;;;;;;;;;;;;
;;;;;;;;;;;;;;; ;;;9977;;mucus;0;;;;0.050;;;;;;;;;;;;
LC;2018-10-23;2;187;39;;15;19;;;;;;;357;;0.169;0.071;7511;;Oedicerotidae;0;1;;0.003;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;6083;81;Calanus sp.;partiel;;;;0.007;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;6084;18;Calanus finmarchicus;Cvi femelle;7;;x;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;6084;16;Calanus finmarchicus;Cv;6;;x;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;6111;18;Bradyidius similis;Cvi femelle;1;;x;;;;;;;;;;;;;
LC;2018-10-23;2;150;39;;15;63;;;;;;;358;;1.779;1.210;6265;18;Metridia longa;Cvi femelle;117;;x;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;6265;16;Metridia longa;Cv;4;;x;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;6266;18;Metridia lucens;Cvi femelle;5;;x;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;6080;81;Copepoda;partiel;;;;0.052;;;;;;;;;;;;
LC;2018-10-23;2;150;39;;15;63;;;;;;;359;;2.760;1.045;9980;81;matériel digéré non-identifié;partiel;;;;1.715;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;9977;;mucus;0;;;;1.045;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;#N/A;0;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;#N/A;0;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;#N/A;0;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;#N/A;0;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;#N/A;0;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;#N/A;0;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;#N/A;0;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;#N/A;0;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;#N/A;0;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;#N/A;0;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;#N/A;0;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;#N/A;0;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;#N/A;0;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;#N/A;0;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;#N/A;0;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;#N/A;0;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;#N/A;0;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;#N/A;0;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;#N/A;0;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;#N/A;0;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;#N/A;0;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;#N/A;0;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;#N/A;0;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;#N/A;0;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;#N/A;0;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;#N/A;0;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;#N/A;0;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;#N/A;0;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;#N/A;0;;;;;;;;;;;;;;;;
